Relationship,Text
hosts,<e1> HAFNIUM </e1> is a likely state-sponsored  <e2> cyber espionage </e2> group operating out of China that has been active since at least January 2021.
targets,"<e1> Operation Dream Job </e1> was a cyber espionage operation likely conducted by Lazarus Group that targeted the defense,  <e2> aerospace </e2>  government, and other sectors in the United States, Israel, Australia, Russia, and India."
actived-on,"<e1> APT-C-36 </e1> is a suspected South America espionage group that has been active since at least  <e2> 2018 </e2>  The group mainly targets Colombian government institutions as well as important corporations in the financial sector, petroleum industry, and professional manufacturing."
belongs-to,<e1> xCmd </e1> is an  <e2> open source tool </e2> that is similar to PsExec and allows the user to execute applications on remote systems.
targets,"<e1> Earth Lusca </e1> has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States. Targets included government institutions, news media outlets, gambling companies,  <e2> education </e2> l institutions, COVID-19 research organizations, telecommunications companies, religious movements banned in China, and cryptocurrency trading platforms; security researchers assess some Earth Lusca operations may be financially motivated."
targets,"<e1> Strider </e1> is a threat group that has been active since at least 2011 and has targeted victims in Russia, China, Sweden, Belgium,  <e2> Iran </e2>  and Rwanda."
targets,"<e1> Scarlet Mimic </e1> is a threat group that has targeted  <e2> minority rights activists </e2>  This group has not been directly linked to a government source, but the group's motivations appear to overlap with those of the Chinese government."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications, local government,  <e1> defense </e1>  and oil and natural gas organizations, in the Middle East, Asia, Africa,  <e2> Europe </e2>  and North America."
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government, consulting, technology,  <e2> telecom </e2>  and other organizations in North America, Europe, Asia, and the Middle East."
originates-from,<e1> Moses Staff </e1> is a suspected  <e2> Iranian </e2> threat group that has primarily targeted Israeli companies since at least September 2021.
located-at,"Mustang Panda has targeted government entities, nonprofits,  <e1> religious </e1>  and other non-governmental organizations in the U. ,  <e2> Europe </e2>  Mongolia, Myanmar, Pakistan, and Vietnam, among others."
targets,"<e1> AvosLocker </e1> is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing,  <e2> government </e2> facilities, and other critical infrastructure sectors in the United States."
associated-with,"A group of hackers identifying itself as "" <e1> Ghost Shell </e1>  said that he has leaked some 120,000 pieces of information from 100 universities across the globe including Harvard University and the University of Cambridge. The group was apparently influenced by the international hacking group "" <e2> Anonymous </e2> "" according to the Cabinet Office."
uses,"<e1> DragonOK </e1> is a threat group that has targeted Japanese organizations with  <e2> phishing emails </e2>  Due to overlapping TTPs, including similar custom tools, DragonOK is thought to have a direct or indirect relationship with the threat group Moafee."
uses,"The software was reportedly designed to help a  <e1> Chinese phone manufacturer </e1>  <e2> Adups </e2> is software that was pre-installed onto Android devices, including those made by BLU Products."
attributed-to,<e1> Lazarus Group </e1> is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau. The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named  <e2> Operation Blockbuster </e2> by Novetta.
associated-with,"<e1> OilRig </e1> is a suspected Iranian threat group that has targeted Middle Eastern and international victims since at least 2014. FireEye assesses that the group works on behalf of the  <e2> Iranian government </e2> based on infrastructure details that contain references to Iran, use of Iranian infrastructure, and targeting that aligns with nation-state interests."
associated-with,<e1> Bonadan </e1> has been active since at least 2018 and combines a new cryptocurrency-mining module with the same credential-stealing module used by the  <e2> Onderon </e2> family of backdoors.
targets,"<e1> XLoader </e1> for Android is a malicious Android app first observed targeting Japan,  <e2> Korea </e2>  China, Taiwan, and Hong Kong in 2018."
located-at,"WIRTE has targeted government, diplomatic, financial,  <e1> military </e1>  legal, and technology organizations in the  <e2> Middle East </e2> and Europe."
uses,Aria-body is a custom backdoor that has been used by  <e1> Naikon </e1>  <e2> Aria-body </e2> is a custom backdoor that has been used by Naikon since approximately 2017.
targets,"<e1> Cobalt Group </e1> has mainly targeted banks in  <e2> Eastern Europe </e2>  Central Asia, and Southeast Asia."
variant-of,<e1> Android/AdDisplay. Ashas </e1> is a variant of  <e2> adware </e2> that has been distributed through multiple apps in the Google Play Store.
targets,"<e1> BackdoorDiplomacy </e1> has targeted Ministries of Foreign Affairs and telecommunication companies in Africa,  <e2> Europe </e2>  the Middle East, and Asia."
targets,"<e1> AppleSeed </e1> is a backdoor that has been used by Kimsuky to target  <e2> South Korean </e2> government, academic, and commercial targets since at least 2021."
targets,"<e1> LazyScripter </e1> is threat group that has mainly targeted the  <e2> airlines </e2> industry since at least 2018, primarily using open-source toolsets."
targets,"<e1> Machete </e1> is a suspected Spanish-speaking cyber espionage group that has been active since at least 2010. It has primarily focused its operations within Latin America, with a particular emphasis on Venezuela, but also in the US, Europe,  <e2> Russia </e2>  and parts of Asia."
targets,"<e1> Operation Wocao </e1> was a cyber espionage campaign that targeted organizations around the world, including in Brazil, China,  <e2> France </e2>  Germany, Italy, Mexico, Portugal, Spain, the United Kingdom, and the United States."
located-at,"BADHATCH has been used to target the  <e1> insurance </e1>  retail, technology, and chemical industries in the United States,  <e2> Canada </e2>  South Africa, Panama, and Italy."
targets,"<e1> Mustang Panda </e1> has targeted  <e2> government </e2> entities, nonprofits, religious, and other non-governmental organizations in the U."
actived-on,"Active since at least May 2020,  <e1> Aquatic Panda </e1>  <e2> May 2020 </e2>  Aquatic Panda has primarily targeted entities in the telecommunications, technology, and government sectors."
targets,"<e1> BADHATCH </e1> has been used to target the insurance,  <e2> retail </e2>  technology, and chemical industries in the United States, Canada, South Africa, Panama, and Italy."
actived-on,"<e1> EXOTIC LILY </e1> may be acting as an initial access broker for other malicious actors, and has targeted a wide range of industries including IT, cybersecurity, and healthcare since at least  <e2> September 2021 </e2>."
similar-to,While  <e1> Naikon </e1> shares some characteristics with  <e2> APT30 </e2>  the two groups do not appear to be exact matches.
actived-on,<e1> Avaddon </e1> is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least  <e2> June 2020 </e2>.
located-at,"Ke3chang has targeted oil,  <e1> government </e1>  diplomatic, military, and NGOs in Central and South America, the Caribbean,  <e2> Europe </e2>  and North America since at least 2010."
uses,<e1> Carberp </e1> is a  <e2> credential and information stealing </e2> malware that has been active since at least 2009.
uses,During campaigns  <e1> Scattered Spider </e1> has leveraged targeted  <e2> social-engineering techniques </e2> and attempted to bypass popular endpoint security tools.
compromises,"<e1> FIN4 </e1> is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access  <e2> email </e2> and other non-public correspondence."
operated-on,"<e1> XLoader </e1> for Android is a malicious Android app first observed targeting Japan, Korea, China, Taiwan, and Hong Kong in  <e2> 2018 </e2>  It has more recently been observed targeting South Korean users as a pornography application."
targets,"<e1> BitPaymer </e1> is a ransomware variant first observed in August 2017 targeting hospitals in the  <e2> U. K </e2>  BitPaymer uses a unique encryption key, ransom note, and contact information for each operation."
uses,"Hydraq is a data-theft trojan first used by Elderwood in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including  <e1> APT17 </e1>  <e2> Hydraq </e2> is a data-theft trojan first used by Elderwood in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
uses,"Anubis is Android malware that was originally used for  <e1> cyber espionage </e1>  <e2> Anubis </e2> is Android malware that was originally used for cyber espionage, and has been retooled as a banking trojan."
hosts,"<e1> Mofang </e1> is a likely China-based  <e2> cyber espionage </e2> group, named for its frequent practice of imitating a victim's infrastructure."
targets,"<e1> APT28 </e1> reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the  <e2> U. presidential election </e2>  In 2018, the US indicted five GRU Unit 26165 officers associated with APT28 for cyber operations (including close-access operations) conducted between 2014 and 2018 against the World Anti-Doping Agency (WADA), the US Anti-Doping Agency, a US nuclear facility, the Organization for the Prohibition of Chemical Weapons (OPCW), the Spiez Swiss Chemicals Laboratory, and other organizations."
targets,"<e1> CopyKittens </e1> is an Iranian cyber espionage group that has been operating since at least 2013. ,  <e2> Jordan </e2>  and Germany."
attributed-to,"<e1> Dragonfly </e1> is a cyber espionage group that has been attributed to  <e2> Russia's Federal Security Service (FSB) Center 16 </e2>  Active since at least 2010, Dragonfly has targeted defense and aviation companies, government entities, companies related to industrial control systems, and critical infrastructure sectors worldwide through supply chain, spearphishing, and drive-by compromise attacks."
operated-on,BADFLICK is a backdoor used by  <e1> Leviathan </e1> in  <e2> spearphishing campaign </e2>  first reported in 2018 that targeted the U.
hosts,<e1> BackdoorDiplomacy </e1> is a  <e2> cyber espionage </e2> threat group that has been active since at least 2017.
hosts,<e1> Volt Typhoon </e1> typically focuses on  <e2> espionage </e2> and information gathering and has targeted critical infrastructure organizations in the US including Guam.
targets,"<e1> Elderwood </e1> is a suspected Chinese cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora. The group has targeted defense organizations, supply chain manufacturers, human rights and  <e2> nongovernmental organizations (NGOs) </e2>  and IT service providers."
similar-to,<e1> Brave Prince </e1> is a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior to  <e2> Gold Dragon </e2>  and was seen along with Gold Dragon and RunningRAT in operations surrounding the 2018 Pyeongchang Winter Olympics.
targets,"<e1> Sidewinder </e1> is a suspected Indian threat actor group that has been active since at least 2012. They have been observed targeting government, military, and business entities throughout  <e2> Asia </e2>  primarily focusing on Pakistan, China, Nepal, and Afghanistan."
targets,"<e1> AvosLocker </e1> is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against  <e2> financial </e2> services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States."
belongs-to,<e1> Zen </e1> is  <e2> Android malware </e2> that was first seen in 2013.
uses,"<e1> Group5 </e1> is a threat group with a suspected Iranian nexus, though this attribution is not definite. The group has targeted individuals connected to the Syrian opposition via  <e2> spearphishing </e2> and watering holes, normally using Syrian and Iranian themes."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and  <e1> transportation </e1> across the US, Canada, Europe, the  <e2> Middle East </e2>  and Southeast Asia."
belongs-to,"<e1> Javali </e1> is a  <e2> banking trojan </e2> that has targeted Portuguese and Spanish-speaking countries since 2017, primarily focusing on customers of financial institutions in Brazil and Mexico."
uses,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy, pharmaceutical, telecommunications, high tech, education, manufacturing, and legal services. In 2017, a  <e2> phishing campaign </e2> was used to target seven law and investment firms."
located-at,AuTo Stealer is malware written in C++ has been used by SideCopy since at least December 2021 to target  <e1> government </e1> agencies and personnel in India and  <e2> Afghanistan </e2>.
targets,"<e1> FIN4 </e1> is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and  <e2> pharmaceutical </e2> companies, since at least 2013."
belongs-to,"They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client,  <e1> ATM </e1>  <e2> banking systems </e2>  including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including  <e1> telecommunications </e1>  local government, defense, and oil and natural gas organizations, in the Middle East, Asia, Africa, Europe, and  <e2> North America </e2>."
targets,"<e1> Tonto </e1> Team is a suspected Chinese state-sponsored cyber espionage threat group that has primarily targeted South Korea, Japan, Taiwan, and the United States since at least 2009; by 2020 they expanded operations to include other  <e2> Asian </e2> as well as Eastern European countries."
actived-on,"<e1> Whitefly </e1> is a cyber espionage group that has been operating since at least  <e2> 2017 </e2>  The group has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information."
belongs-to,<e1> HyperStack </e1> is a RPC-based  <e2> backdoor </e2> used by Turla since at least 2018.
associated-with,<e1> Carbanak </e1> may be linked to groups tracked separately as  <e2> Cobalt Group </e2> and FIN7 that have also used Carbanak malware.
associated-with,<e1> BitPaymer </e1> has several indicators suggesting overlap with the  <e2> Dridex </e2> malware and is often delivered via Dridex.
originates-from,<e1> BITTER </e1> is a suspected  <e2> South Asian </e2> cyber espionage threat group that has been active since at least 2013.
targets,"<e1> Kimsuky </e1> is a North Korea-based cyber espionage group that has been active since at least 2012. The group initially focused on targeting South Korean government entities,  <e2> think tanks </e2>  and individuals identified as experts in various fields, and expanded its operations to include the United States, Russia, Europe, and the UN."
targets,"<e1> Higaisa </e1> has targeted government, public, and trade organizations in  <e2> North Korea </e2>  however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations."
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government, consulting, technology, telecom, and other organizations in North America, Europe,  <e2> Asia </e2>  and the Middle East."
hosts,"<e1> Thrip </e1> is an  <e2> espionage </e2> group that has targeted satellite communications, telecoms, and defense contractor companies in the U."
targets,"<e1> FIN4 </e1> is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding  <e2> healthcare </e2> and pharmaceutical companies, since at least 2013."
belongs-to,"As of July 2019 Agent Smith had infected around 25 million devices, primarily targeting  <e1> India </e1> though effects had been observed in other  <e2> Asian countries </e2> as well as Saudi Arabia, the United Kingdom, and the United States."
targets,"<e1> LAPSUS$ </e1> is cyber criminal threat group that has been active since at least mid-2021. The group has targeted organizations globally, including in the government, manufacturing, higher education, energy, healthcare, technology,  <e2> telecommunications </e2>  and media sectors."
belongs-to,<e1> CARROTBALL </e1> is an  <e2> FTP downloader </e2> utility that has been in use since at least 2019.
targets,"<e1> Strider </e1> is a threat group that has been active since at least 2011 and has targeted victims in Russia, China, Sweden,  <e2> Belgium </e2>  Iran, and Rwanda."
targets,"<e1> BLINDINGCAN </e1> is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and  <e2> government </e2> organizations in Western Europe and the US."
targets,"German authorities last week disclosed that a  <e1> ransomware attack </e1> on the  <e2> University Hospital of Düsseldorf (UKD) </e2> caused a failure of IT systems, resulting in the death of a woman who had to be sent to another hospital that was 20 miles away."
belongs-to,<e1> KARAE </e1> is a  <e2> backdoor </e2> typically used by APT37 as first-stage malware.
targets,"<e1> Mofang </e1> is a likely China-based cyber espionage group, named for its frequent practice of imitating a victim's infrastructure. This adversary has been observed since at least May 2012 conducting focused attacks against government and critical infrastructure in Myanmar, as well as several other countries and sectors including military,  <e2> automobile </e2>  and weapons industries."
actived-on,<e1> ZLib </e1> is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least  <e2> 2014 </e2>  ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
targets,"<e1> Strider </e1> is a threat group that has been active since at least 2011 and has targeted victims in  <e2> Russia </e2>  China, Sweden, Belgium, Iran, and Rwanda."
hosts,<e1> Turla </e1> is a  <e2> cyber espionage </e2> threat group that has been attributed to Russia's Federal Security Service (FSB).
targets,"<e1> Tonto </e1> Team has targeted government, military, energy, mining, financial, education, healthcare, and  <e2> technology </e2> organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017)."
belongs-to,"<e1> Hydraq </e1> is a data-theft  <e2> trojan </e2> first used by Elderwood in the 2009 Google intrusion known as Operation Aurora, though variations of this trojan have been used in more recent campaigns by other Chinese actors, possibly including APT17."
located-at,The group has focused on targets associated with  <e1> governments </e1> and related organizations in South and  <e2> Southeast Asia </e2>.
targets,"<e1> AbstractEmu </e1> was observed primarily impacting users in the  <e2> United State </e2> , however victims are believed to be across a total of 17 countries."
compromises,"BlackTech has used a combination of  <e1> custom malware </e1>  dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and  <e2> financial company network </e2>."
located-at,"BADHATCH has been used to target the  <e1> insurance </e1>  retail, technology, and chemical industries in the United States, Canada, South Africa,  <e2> Panama </e2>  and Italy."
located-at,"BITTER has primarily targeted  <e1> government </e1>  energy, and engineering organizations in  <e2> Pakistan </e2>  China, Bangladesh, and Saudi Arabia."
hosts,"Hot for security: The  <e1> Anonymous </e1> hacker group announced today that it attacked some 500 Israeli web sites during a coordinated offensive over the Gaza conflict, according toIBTimes. The cyber-attacks, most of them  <e2> distributed denial of service </e2>  coincide with Holocaust Remembrance Day."
targets,"<e1> Ke3chang </e1> has targeted oil,  <e2> government </e2>  diplomatic, military, and NGOs in Central and South America, the Caribbean, Europe, and North America since at least 2010."
targets,"<e1> Axiom </e1> is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government,  <e2> manufacturing </e2>  and media sectors since at least 2008."
uses,"Bandook has been used by  <e1> Dark Caracal </e1>  <e2> Bandook </e2> has been used by Dark Caracal, as well as in a separate campaign referred to as ""Operation Manul""."
compromises,"The suspected  <e1> China-based actor </e1>  compromised government organizations and managed service providers, as well as aviation, construction, energy,  <e2> finance </e2>  health care, insurance, offshore engineering, software development, and transportation companies."
targets,"As of July 2019  <e1> Agent Smith </e1> had infected around 25 million devices, primarily targeting  <e2> India </e2> though effects had been observed in other Asian countries as well as Saudi Arabia, the United Kingdom, and the United States."
belongs-to,"The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines,  <e1> Laos </e1>  <e2> Southeast Asian countries </e2> like Vietnam, the Philippines, Laos, and Cambodia."
targets,"<e1> APT37 </e1> is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India,  <e2> Romania </e2>  Kuwait, and other parts of the Middle East."
belongs-to,"As of July 2019 Agent Smith had infected around 25 million devices, primarily targeting India though effects had been observed in other Asian countries as well as Saudi Arabia, the  <e1> United Kingdom </e1>  <e2> Asian countries </e2> as well as Saudi Arabia, the United Kingdom, and the United States."
actived-on,<e1> PROMETHIUM </e1> is an activity group focused on espionage that has been active since at least  <e2> 2012 </e2>  The group has conducted operations globally with a heavy emphasis on Turkish targets.
targets,"In October 2020, the US indicted six GRU Unit 74455 officers associated with Sandworm Team for the following cyber operations: the 2015 and 2016 attacks against Ukrainian electrical companies and government organizations, the 2017 worldwide NotPetya attack, targeting of the 2017 French presidential campaign, the  <e1> 2018 Olympic Destroyer </e1> attack against the  <e2> Winter Olympic Games </e2>  the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019."
located-at,"Today 100's of Indian  <e1> Government </e1>  <e2> India </e2>  Government, Education and Corporate websites was also Hacked By ZCompany Hacking Crew."
compromises,"1/1SkipAdContinue watchingafter the adVisit Advertiser websiteGO TO PAGEPLAYTop StoriesVideo SettingsFull ScreenAbout ConnatixV255047Read MoreRead MoreRead MoreRead MoreRead MoreRead MoreSD Worx shuts down UK payroll, HR servicesafter cyberattackWindows builds targeted by Magniber(HP)In April 2022,  <e1> Magniber </e1> was seen distributed as a Windows 10 updatevia a network of malicious websites. In January, the its operators used Chrome and Edge browser updates to push malicious  <e2> Windows application package files (. APPX) </e2> Magniber's new infection chainIn previous campaign, the threat actor used MSI and EXE files."
targets,"<e1> Kimsuky </e1> is a North Korea-based cyber espionage group that has been active since at least 2012. The group initially focused on targeting South Korean government entities, think tanks, and individuals identified as experts in various fields, and expanded its operations to include the United States, Russia,  <e2> Europe </e2>  and the UN."
targets,"<e1> BADHATCH </e1> has been used to target the insurance, retail, technology, and chemical industries in the United States,  <e2> Canada </e2>  South Africa, Panama, and Italy."
targets,"<e1> Thrip </e1> is an espionage group that has targeted satellite communications,  <e2> telecoms </e2>  and defense contractor companies in the U."
targets,"<e1> Gamaredon </e1> Group is a suspected Russian cyber espionage threat group that has targeted military,  <e2> NGO </e2>  judiciary, law enforcement, and non-profit organizations in Ukraine since at least 2013."
targets,"<e1> Cobalt Group </e1> is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing,  <e2> payment systems </e2> and SWIFT systems."
originates-from,<e1> Elderwood </e1> is a suspected  <e2> Chinese </e2> cyber espionage group that was reportedly responsible for the 2009 Google intrusion known as Operation Aurora.
targets,"<e1> Tonto </e1> Team has targeted government, military, energy, mining,  <e2> financial </e2>  education, healthcare, and technology organizations, including through the Heartbeat Campaign (2009-2012) and Operation Bitter Biscuit (2017)."
targets,"<e1> Cobalt Group </e1> has mainly targeted banks in Eastern Europe, Central Asia, and  <e2> Southeast Asia </e2>  One of the alleged leaders was arrested in Spain in early 2018, but the group still appears to be active."
actived-on,<e1> BLUELIGHT </e1> is a remote access Trojan used by APT37 that was first observed in early  <e2> 2021 </e2>.
uses,<e1> APT17 </e1> is a China-based threat group that has conducted  <e2> network intrusions </e2> against U.
targets,"<e1> SideCopy </e1> is a Pakistani threat group that has primarily targeted South Asian countries, including Indian and Afghani  <e2> government </e2> personnel, since at least 2019."
targets,"<e1> BLINDINGCAN </e1> is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against  <e2> defense </e2>  engineering, and government organizations in Western Europe and the US."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical,  <e1> defense industrial base </e1>  government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the  <e2> Middle East </e2>  and Southeast Asia."
targets,"<e1> APT18 </e1> is a threat group that has operated since at least 2009 and has targeted a range of industries, including  <e2> technology </e2>  manufacturing, human rights groups, government, and medical."
uses,BONDUPDATER is a PowerShell backdoor used by  <e1> OilRig </e1>  <e2> BONDUPDATER </e2> is a PowerShell backdoor used by OilRig.
originates-from,<e1> APT37 </e1> is a <e2>  North Korean </e2> state-sponsored cyber espionage group that has been active since at least 2012.
uses,"A report fromHP's threat intelligence teamnotes that  <e1> Magniberransomware operators </e1> demanded payment of up to $2,500 for home users to receive a decryption tool and recover their files. In January, the its operators used  <e2> Chrome and Edge browser </e2> updates to push malicious Windows application package files (."
actived-on,"<e1> Earth Lusca </e1> is a suspected China-based cyber espionage group that has been active since at least  <e2> April 2019 </e2>  Earth Lusca has targeted organizations in Australia, China, Hong Kong, Mongolia, Nepal, the Philippines, Taiwan, Thailand, Vietnam, the United Arab Emirates, Nigeria, Germany, France, and the United States."
targets,"<e1> Tonto </e1> Team is a suspected Chinese state-sponsored cyber espionage threat group that has primarily targeted South Korea, Japan, Taiwan, and the  <e2> United States </e2> since at least 2009; by 2020 they expanded operations to include other Asian as well as Eastern European countries."
associated-with,"<e1> Bumblebee </e1> has been linked to  <e2> ransomware </e2> operations including Conti, Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
located-at,"Since at least 2017, MuddyWater has targeted a range of government and private organizations across sectors, including telecommunications,  <e1> local government </e1>  defense, and oil and natural gas organizations, in the  <e2> Middle East </e2>  Asia, Africa, Europe, and North America."
uses,xCaon is an HTTP variant of the BoxCaon malware family that has used by  <e1> IndigoZebra </e1>  <e2> xCaon </e2> is an HTTP variant of the BoxCaon malware family that has used by IndigoZebra since at least 2014.
operated-on,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid- <e2> December 2020 </e2>  APT29 used customized malware to inject malicious code into the SolarWinds Orion software build process that was later distributed through a normal software update; they also used password spraying, token theft, API abuse, spear phishing, and other supply chain attacks to compromise user accounts and leverage their associated access."
located-at,"WIRTE has targeted government, diplomatic, financial, military, legal, and  <e1> technology </e1> organizations in the  <e2> Middle East </e2> and Europe."
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/ <e1> aviation </e1>  biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the Middle East, and  <e2> Southeast Asia </e2>."
targets,"<e1> APT19 </e1> is a Chinese-based threat group that has targeted a variety of industries, including defense, finance, energy,  <e2> pharmaceutical </e2>  telecommunications, high tech, education, manufacturing, and legal services."
operated-on,<e1> Patchwork </e1> was also seen operating spearphishing campaigns targeting U. think tank groups in  <e2> March and April of 2018 </e2>.
associated-with,"Researchers assessed  <e1> Operation CuckooBees </e1> was conducted by actors affiliated with Winnti Group, APT41, and  <e2> BARIUM </e2>."
targets,"<e1> Silence </e1> is a financially motivated threat actor targeting financial institutions in different countries. Their main targets reside in  <e2> Russia </e2>  Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan."
targets,The intrusion into healthcare company Anthem has been attributed to  <e1> Deep Panda </e1>  <e2> Anthem </e2> has been attributed to Deep Panda.
targets,"The  <e1> SolarWinds Compromise </e1> was a sophisticated supply chain cyber operation conducted by APT29 that was discovered in mid-December 2020. Victims of this campaign included government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the  <e2> Middle East </e2>  Industry reporting initially referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, Dark Halo, and SolarStorm."
actived-on,<e1> IcedID </e1> is a modular banking malware designed to steal financial information that has been observed in the wild since at least  <e2> 2017 </e2>  IcedID has been downloaded by Emotet in multiple campaigns.
located-at,"Active since at least 2009, Leviathan has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base,  <e1> government </e1>  healthcare, manufacturing, maritime, and transportation across the US, Canada,  <e2> Europe </e2>  the Middle East, and Southeast Asia."
targets,"<e1> POLONIUM </e1> is a Lebanon-based group that has primarily targeted Israeli organizations, including critical manufacturing, information technology, and  <e2> defense industry companies </e2>  since at least February 2022."
actived-on,"First discovered in August 2020,  <e1> BendyBear </e1>  <e2> August 2020 </e2>  BendyBear shares a variety of features with Waterbear, malware previously attributed to the Chinese cyber espionage group BlackTech."
uses,HyperStack is a RPC-based backdoor used by  <e1> Turla </e1>  <e2> HyperStack </e2> is a RPC-based backdoor used by Turla since at least 2018.
compromises,"BlackTech has used a combination of  <e1> custom malware </e1>  dual-use tools, and living off the land tactics to compromise media, construction, engineering,  <e2> electronic </e2> , and financial company networks."
targets,"<e1> Bandook </e1> is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial,  <e2> energy </e2>  healthcare, education, IT, and legal organizations in the US, South America, Europe, and Southeast Asia."
actived-on,<e1> JSS Loader </e1> is Remote Access Trojan (RAT) with. NET and C++ variants that has been used by FIN7 since at least  <e2> 2020 </e2>.
associated-with,"In October 2020, the US indicted six  <e1> GRU Unit 74455 </e1> officers associated with  <e2> Sandworm Team </e2> for the following cyber operations: the 2015 and 2016 attacks against Ukrainian electrical companies and government organizations, the 2017 worldwide NotPetya attack, targeting of the 2017 French presidential campaign, the 2018 Olympic Destroyer attack against the Winter Olympic Games, the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019."
actived-on,"<e1> WIRTE </e1> is a threat group that has been active since at least  <e2> August 2018 </e2>  WIRTE has targeted government, diplomatic, financial, military, legal, and technology organizations in the Middle East and Europe."
located-at,"BADHATCH has been used to target the insurance,  <e1> retail </e1>  technology, and chemical industries in the United States, Canada, South Africa,  <e2> Panama </e2>  and Italy."
compromises,"<e1> Imminent Monitor </e1> was a commodity remote access tool (RAT) offered for sale from 2012 until 2019, when an operation was conducted to take down the  <e2> Imminent Monitor infrastructure </e2>  Various cracked versions and variations of this RAT are still in circulation."
targets,"<e1> Night Dragon </e1> was a cyber espionage campaign that targeted oil, energy, and  <e2> petrochemical companies </e2>  along with individuals and executives in Kazakhstan, Taiwan, Greece, and the United States."
